Date,Open*,High,Low,Close**,Volume,Market Cap
14-Sep-20,$0.09 ,$0.10 ,$0.09 ,$0.10 ,"$851,692,144 ","$2,508,929,771 "
13-Sep-20,$0.10 ,$0.10 ,$0.09 ,$0.09 ,"$771,663,333 ","$2,459,337,149 "
12-Sep-20,$0.10 ,$0.10 ,$0.10 ,$0.10 ,"$699,214,253 ","$2,530,438,657 "
11-Sep-20,$0.10 ,$0.10 ,$0.09 ,$0.10 ,"$771,197,364 ","$2,514,641,826 "
10-Sep-20,$0.09 ,$0.10 ,$0.09 ,$0.10 ,"$809,239,667 ","$2,518,960,461 "
09-Sep-20,$0.09 ,$0.10 ,$0.09 ,$0.09 ,"$572,617,714 ","$2,420,254,923 "
08-Sep-20,$0.09 ,$0.10 ,$0.09 ,$0.09 ,"$610,082,647 ","$2,359,641,181 "
07-Sep-20,$0.09 ,$0.09 ,$0.09 ,$0.09 ,"$463,220,962 ","$2,419,859,105 "
06-Sep-20,$0.09 ,$0.10 ,$0.09 ,$0.09 ,"$454,580,262 ","$2,412,763,134 "
05-Sep-20,$0.10 ,$0.10 ,$0.09 ,$0.09 ,"$481,176,027 ","$2,331,449,998 "
04-Sep-20,$0.10 ,$0.10 ,$0.09 ,$0.10 ,"$514,623,980 ","$2,656,099,876 "
03-Sep-20,$0.12 ,$0.12 ,$0.10 ,$0.10 ,"$486,369,863 ","$2,492,979,309 "
02-Sep-20,$0.13 ,$0.13 ,$0.11 ,$0.12 ,"$427,391,907 ","$2,997,504,255 "
01-Sep-20,$0.12 ,$0.13 ,$0.12 ,$0.13 ,"$451,299,015 ","$3,251,530,868 "
31-Aug-20,$0.12 ,$0.13 ,$0.11 ,$0.12 ,"$453,559,242 ","$3,180,947,691 "
30-Aug-20,$0.12 ,$0.12 ,$0.11 ,$0.12 ,"$297,044,001 ","$3,044,806,865 "
29-Aug-20,$0.11 ,$0.12 ,$0.11 ,$0.12 ,"$315,465,776 ","$3,025,992,529 "
28-Aug-20,$0.11 ,$0.11 ,$0.11 ,$0.11 ,"$275,672,160 ","$2,837,784,381 "
